DATE,HOUR,ENERGY(MWh)
20200501,1,172.7828706
20200501,2,166.7864511
20200501,3,163.1819966
20200501,4,169.4549958
20200501,5,165.8493061
20200501,6,158.0725356
20200501,7,163.2084126
20200501,8,322.1086459
20200501,9,802.5345891
20200501,10,1383.828771
20200501,11,1836.140218
20200501,12,2144.410497
20200501,13,2308.573239
20200501,14,2321.65189
20200501,15,2185.364054
20200501,16,1907.1787
20200501,17,1534.312558
20200501,18,1116.809544
20200501,19,671.3027833
20200501,20,300.3901976
20200501,21,186.5829723
20200501,22,187.6116506
20200501,23,176.3601958
20200501,24,170.9928006
20200502,1,176.5715711
20200502,2,179.8125253
20200502,3,181.6207261
20200502,4,181.3533556
20200502,5,181.6660466
20200502,6,175.9966211
20200502,7,179.0768718
20200502,8,316.1101458
20200502,9,690.2315808
20200502,10,1132.668712
20200502,11,1497.588085
20200502,12,1712.057495
20200502,13,1770.927512
20200502,14,1723.605073
20200502,15,1645.779624
20200502,16,1432.700013
20200502,17,1206.64296
20200502,18,871.1481108
20200502,19,497.4072435
20200502,20,264.5772333
20200502,21,185.6895497
20200502,22,182.1225856
20200502,23,177.2821906
20200502,24,181.473125
20200503,1,182.3911756
20200503,2,179.3872208
20200503,3,202.6675406
20200503,4,217.2591158
20200503,5,207.3045858
20200503,6,203.5389261
20200503,7,202.6309641
20200503,8,343.3018188
20200503,9,796.9239494
20200503,10,1305.491253
20200503,11,1683.884228
20200503,12,1990.015261
20200503,13,2092.977181
20200503,14,2125.709368
20200503,15,1998.478202
20200503,16,1798.518895
20200503,17,1529.453937
20200503,18,1136.36737
20200503,19,638.7256192
20200503,20,288.5482992
20200503,21,196.6766684
20200503,22,195.8055312
20200503,23,194.93021
20200503,24,196.038505
20200504,1,205.694355
20200504,2,208.84595
20200504,3,208.052575
20200504,4,222.46701
20200504,5,230.6254
20200504,6,227.36259
20200504,7,222.7648197
20200504,8,365.4997595
20200504,9,750.0255158
20200504,10,1231.913551
20200504,11,1668.001681
20200504,12,1950.006742
20200504,13,2034.176831
20200504,14,2025.641845
20200504,15,1923.285522
20200504,16,1749.638184
20200504,17,1508.781089
20200504,18,1218.501817
20200504,19,748.3386378
20200504,20,365.0793053
20200504,21,235.4554517
20200504,22,228.5167305
20200504,23,219.98507
20200504,24,224.35812
20200505,1,231.67147
20200505,2,223.416685
20200505,3,221.05274
20200505,4,221.37071
20200505,5,214.398745
20200505,6,209.060385
20200505,7,211.7062946
20200505,8,390.2203217
20200505,9,890.3217865
20200505,10,1455.786308
20200505,11,1913.329717
20200505,12,2217.10606
20200505,13,2367.019679
20200505,14,2416.538403
20200505,15,2348.065531
20200505,16,2149.906639
20200505,17,1803.49804
20200505,18,1313.81446
20200505,19,744.63295
20200505,20,288.4467058
20200505,21,161.6344369
20200505,22,163.4627855
20200505,23,166.674415
20200505,24,173.33216
20200506,1,172.8046
20200506,2,174.231005
20200506,3,174.529835
20200506,4,171.451045
20200506,5,168.54013
20200506,6,169.675175
20200506,7,177.2845333
20200506,8,362.6419338
20200506,9,790.9554041
20200506,10,1354.029395
20200506,11,1727.680764
20200506,12,1942.840957
20200506,13,2032.404325
20200506,14,1961.895104
20200506,15,1826.199778
20200506,16,1631.89129
20200506,17,1320.007188
20200506,18,931.7318169
20200506,19,564.692756
20200506,20,301.1063664
20200506,21,207.4123351
20200506,22,200.4769355
20200506,23,206.305705
20200506,24,202.89202
20200507,1,210.45702
20200507,2,215.37546
20200507,3,223.98414
20200507,4,227.41224
20200507,5,230.752595
20200507,6,233.09998
20200507,7,250.8846208
20200507,8,403.2622737
20200507,9,735.328902
20200507,10,1129.654577
20200507,11,1515.837808
20200507,12,1775.899784
20200507,13,1914.009429
20200507,14,1983.491479
20200507,15,1970.964791
20200507,16,1773.523819
20200507,17,1471.309733
20200507,18,1179.269458
20200507,19,752.880436
20200507,20,378.3941511
20200507,21,244.2386768
20200507,22,238.0899155
20200507,23,244.020365
20200507,24,248.14516
20200508,1,248.050235
20200508,2,253.93934
20200508,3,248.31292
20200508,4,235.88716
20200508,5,229.31448
20200508,6,230.26541
20200508,7,248.2955215
20200508,8,416.4908935
20200508,9,941.1643102
20200508,10,1518.690793
20200508,11,1963.703027
20200508,12,2258.324461
20200508,13,2404.790877
20200508,14,2442.457369
20200508,15,2367.749488
20200508,16,2170.427884
20200508,17,1835.72064
20200508,18,1357.970917
20200508,19,771.5959245
20200508,20,309.158508
20200508,21,169.8989658
20200508,22,160.1748008
20200508,23,153.94307
20200508,24,155.35636
20200509,1,158.35716
20200509,2,153.481915
20200509,3,150.315355
20200509,4,147.15477
20200509,5,146.956875
20200509,6,146.513895
20200509,7,158.5909574
20200509,8,353.4548963
20200509,9,864.154408
20200509,10,1424.273715
20200509,11,1868.216316
20200509,12,2168.924011
20200509,13,2320.729544
20200509,14,2367.432909
20200509,15,2296.422174
20200509,16,2098.2654
20200509,17,1782.981741
20200509,18,1320.069133
20200509,19,734.8305564
20200509,20,290.5502726
20200509,21,151.5432026
20200509,22,148.1697414
20200509,23,148.496485
20200509,24,143.25599
20200510,1,144.05389
20200510,2,142.813255
20200510,3,139.691895
20200510,4,137.528715
20200510,5,133.75013
20200510,6,132.874215
20200510,7,149.7067541
20200510,8,351.6791502
20200510,9,801.9563865
20200510,10,1309.493968
20200510,11,1682.933096
20200510,12,1889.970934
20200510,13,2044.229259
20200510,14,2061.635531
20200510,15,1843.626878
20200510,16,1532.03493
20200510,17,1155.98537
20200510,18,753.4888129
20200510,19,477.2455228
20200510,20,259.5730297
20200510,21,161.1426818
20200510,22,162.945405
20200510,23,154.95589
20200510,24,152.072785
20200511,1,151.382325
20200511,2,149.556725
20200511,3,150.66615
20200511,4,146.62632
20200511,5,150.48058
20200511,6,156.774155
20200511,7,172.1623867
20200511,8,363.697866
20200511,9,775.1270119
20200511,10,1279.922404
20200511,11,1783.028098
20200511,12,2094.549144
20200511,13,2269.887312
20200511,14,2319.363256
20200511,15,2250.65769
20200511,16,2045.504045
20200511,17,1654.469314
20200511,18,1118.748849
20200511,19,669.3828327
20200511,20,363.3508516
20200511,21,225.2829161
20200511,22,213.2782979
20200511,23,224.6307
20200511,24,226.27395
20200512,1,225.48896
20200512,2,215.94742
20200512,3,217.72867
20200512,4,219.60399
20200512,5,211.73152
20200512,6,197.00978
20200512,7,211.2616227
20200512,8,398.6000927
20200512,9,801.6947281
20200512,10,1292.642234
20200512,11,1702.193152
20200512,12,1968.778672
20200512,13,2139.413176
20200512,14,2188.794077
20200512,15,2140.796092
20200512,16,1988.566156
20200512,17,1713.046409
20200512,18,1293.866761
20200512,19,754.1259658
20200512,20,333.0617117
20200512,21,183.2370185
20200512,22,168.8723248
20200512,23,159.72407
20200512,24,167.90796
20200513,1,180.90703
20200513,2,182.8470237
20200513,3,178.887255
20200513,4,167.5814095
20200513,5,163.3235456
20200513,6,153.4470145
20200513,7,163.0221397
20200513,8,361.4550497
20200513,9,861.540952
20200513,10,1396.001312
20200513,11,1824.852948
20200513,12,2099.798684
20200513,13,2251.761083
20200513,14,2284.086946
20200513,15,2218.424408
20200513,16,2021.805071
20200513,17,1697.44464
20200513,18,1226.47269
20200513,19,688.992985
20200513,20,294.8253589
20200513,21,144.6467692
20200513,22,138.6914943
20200513,23,142.9048056
20200513,24,142.4782075
20200514,1,137.5658275
20200514,2,136.7629207
20200514,3,137.9760518
20200514,4,138.0522912
20200514,5,136.6972612
20200514,6,134.8412437
20200514,7,156.6909963
20200514,8,349.9990147
20200514,9,739.4387793
20200514,10,1207.281283
20200514,11,1574.456683
20200514,12,1830.775122
20200514,13,1968.683453
20200514,14,2062.946136
20200514,15,2000.89173
20200514,16,1846.686864
20200514,17,1510.400423
20200514,18,1069.956521
20200514,19,620.6453983
20200514,20,328.0378767
20200514,21,178.9538055
20200514,22,171.6271821
20200514,23,170.2119347
20200514,24,170.1380121
20200515,1,171.1021226
20200515,2,166.1331382
20200515,3,163.6704842
20200515,4,160.7900626
20200515,5,154.9011087
20200515,6,151.68669
20200515,7,163.6599979
20200515,8,341.352994
20200515,9,658.4208826
20200515,10,1038.755136
20200515,11,1418.969383
20200515,12,1751.13053
20200515,13,1980.813349
20200515,14,2013.753235
20200515,15,1915.569615
20200515,16,1707.755989
20200515,17,1374.322929
20200515,18,948.5245892
20200515,19,568.54794
20200515,20,301.2785202
20200515,21,167.2158916
20200515,22,156.7515758
20200515,23,144.7597899
20200515,24,135.5337763
20200516,1,137.6162913
20200516,2,136.7904823
20200516,3,133.7776468
20200516,4,129.1918187
20200516,5,127.1276373
20200516,6,127.6658892
20200516,7,153.1417829
20200516,8,338.9163707
20200516,9,710.3817781
20200516,10,1150.371062
20200516,11,1543.929445
20200516,12,1754.391468
20200516,13,1849.268101
20200516,14,1873.281607
20200516,15,1829.790877
20200516,16,1643.237995
20200516,17,1359.254801
20200516,18,997.169632
20200516,19,608.8266394
20200516,20,289.3143009
20200516,21,143.482838
20200516,22,134.4198425
20200516,23,134.5156765
20200516,24,132.8530426
20200517,1,132.499322
20200517,2,133.0858289
20200517,3,130.38959
20200517,4,131.4532426
20200517,5,134.704875
20200517,6,133.3564131
20200517,7,153.7964854
20200517,8,333.1288451
20200517,9,610.1181305
20200517,10,981.8089257
