Datetime,GR_load_actual_entsoe_transparency,GR_solar_generation_actual,GR_wind_onshore_generation_actual
2015-01-01 01:00:00+00:00,4.3068,0.1802,0.0876
2015-01-01 02:00:00+00:00,4.0438,0.1802,0.0876
2015-01-01 03:00:00+00:00,3.894,0.1802,0.0876
2015-01-01 04:00:00+00:00,3.897,0.1802,0.0876
2015-01-01 05:00:00+00:00,4.0698,0.1802,0.0876
2015-01-01 06:00:00+00:00,4.143,0.1802,0.0876
2015-01-01 07:00:00+00:00,4.2184,0.1802,0.0876
2015-01-01 08:00:00+00:00,4.5552,0.1802,0.0876
2015-01-01 09:00:00+00:00,4.8486,0.1802,0.0876
2015-01-01 10:00:00+00:00,5.1202,0.1802,0.0876
2015-01-01 11:00:00+00:00,5.158,0.1802,0.0876
2015-01-01 12:00:00+00:00,4.8498,0.1802,0.0876
2015-01-01 13:00:00+00:00,4.6832,0.1802,0.0876
2015-01-01 14:00:00+00:00,4.7432,0.1802,0.0876
2015-01-01 15:00:00+00:00,5.081,0.1802,0.0876
2015-01-01 16:00:00+00:00,5.9574,0.1802,0.0876
2015-01-01 17:00:00+00:00,6.1892,0.1802,0.0876
2015-01-01 18:00:00+00:00,6.2718,0.1802,0.0876
2015-01-01 19:00:00+00:00,6.1222,0.1802,0.0876
2015-01-01 20:00:00+00:00,5.8336,0.1802,0.0876
2015-01-01 21:00:00+00:00,5.3718,0.1802,0.0876
2015-01-01 22:00:00+00:00,4.8232,0.1802,0.0876
2015-01-01 23:00:00+00:00,4.3136,0.1802,0.0876
2015-01-02 00:00:00+00:00,3.9528,0.1802,0.0876
2015-01-02 01:00:00+00:00,3.751,0.1802,0.0876
2015-01-02 02:00:00+00:00,3.6824,0.1802,0.0876
2015-01-02 03:00:00+00:00,3.7116,0.1802,0.0876
2015-01-02 04:00:00+00:00,3.962,0.1802,0.0876
2015-01-02 05:00:00+00:00,4.5756,0.1802,0.0876
2015-01-02 06:00:00+00:00,5.238,0.1802,0.0876
2015-01-02 07:00:00+00:00,5.8106,0.1802,0.0876
2015-01-02 08:00:00+00:00,6.307,0.1802,0.0876
2015-01-02 09:00:00+00:00,6.3608,0.1802,0.0876
2015-01-02 10:00:00+00:00,6.2992,0.1802,0.0876
2015-01-02 11:00:00+00:00,6.1654,0.1802,0.0876
2015-01-02 12:00:00+00:00,5.9248,0.1802,0.0876
2015-01-02 13:00:00+00:00,6.025,0.1802,0.0876
2015-01-02 14:00:00+00:00,6.2502,0.1802,0.0876
2015-01-02 15:00:00+00:00,6.6792,0.1802,0.0876
2015-01-02 16:00:00+00:00,7.6582,0.1802,0.0876
2015-01-02 17:00:00+00:00,7.7324,0.1802,0.0876
2015-01-02 18:00:00+00:00,7.6438,0.1802,0.0876
2015-01-02 19:00:00+00:00,7.1144,0.1802,0.0876
2015-01-02 20:00:00+00:00,6.539,0.1802,0.0876
2015-01-02 21:00:00+00:00,5.8136,0.1802,0.0876
2015-01-02 22:00:00+00:00,5.1818,0.1802,0.0876
2015-01-02 23:00:00+00:00,4.5812,0.1802,0.0876
2015-01-03 00:00:00+00:00,4.1702,0.1802,0.0876
2015-01-03 01:00:00+00:00,3.9424,0.1802,0.0876
2015-01-03 02:00:00+00:00,3.8528,0.1802,0.0876
2015-01-03 03:00:00+00:00,3.8596,0.1802,0.0876
2015-01-03 04:00:00+00:00,4.0384,0.1802,0.0876
2015-01-03 05:00:00+00:00,4.5058,0.1802,0.0876
2015-01-03 06:00:00+00:00,5.039,0.1802,0.0876
2015-01-03 07:00:00+00:00,5.4766,0.1802,0.0876
2015-01-03 08:00:00+00:00,5.8904,0.1802,0.0876
2015-01-03 09:00:00+00:00,5.9328,0.1802,0.0876
2015-01-03 10:00:00+00:00,5.769,0.1802,0.0876
2015-01-03 11:00:00+00:00,5.5872,0.1802,0.0876
2015-01-03 12:00:00+00:00,5.4308,0.1802,0.0876
2015-01-03 13:00:00+00:00,5.4334,0.1802,0.0876
2015-01-03 14:00:00+00:00,5.6018,0.1802,0.0876
2015-01-03 15:00:00+00:00,6.0198,0.1802,0.0876
2015-01-03 16:00:00+00:00,6.959,0.1802,0.0876
2015-01-03 17:00:00+00:00,7.1744,0.1802,0.0876
2015-01-03 18:00:00+00:00,7.1786,0.1802,0.0876
2015-01-03 19:00:00+00:00,6.7218,0.1802,0.0876
2015-01-03 20:00:00+00:00,6.1674,0.1802,0.0876
2015-01-03 21:00:00+00:00,5.5948,0.1802,0.0876
2015-01-03 22:00:00+00:00,5.0434,0.1802,0.0876
2015-01-03 23:00:00+00:00,4.5116,0.1802,0.0876
2015-01-04 00:00:00+00:00,4.1204,0.1802,0.0876
2015-01-04 01:00:00+00:00,3.8898,0.1802,0.0876
2015-01-04 02:00:00+00:00,3.7742,0.1802,0.0876
2015-01-04 03:00:00+00:00,3.7452,0.1802,0.0876
2015-01-04 04:00:00+00:00,3.8244,0.1802,0.0876
2015-01-04 05:00:00+00:00,4.0578,0.1802,0.0876
2015-01-04 06:00:00+00:00,4.32,0.1802,0.0876
2015-01-04 07:00:00+00:00,4.6098,0.1802,0.0876
2015-01-04 08:00:00+00:00,5.0752,0.1802,0.0876
2015-01-04 09:00:00+00:00,5.3718,0.1802,0.0876
2015-01-04 10:00:00+00:00,5.548,0.1802,0.0876
2015-01-04 11:00:00+00:00,5.4652,0.1802,0.0876
2015-01-04 12:00:00+00:00,5.2036,0.1802,0.0876
2015-01-04 13:00:00+00:00,5.0098,0.1802,0.0876
2015-01-04 14:00:00+00:00,4.9736,0.1802,0.0876
2015-01-04 15:00:00+00:00,5.1652,0.1802,0.0876
2015-01-04 16:00:00+00:00,6.0106,0.1802,0.0876
2015-01-04 17:00:00+00:00,6.3216,0.1802,0.0876
2015-01-04 18:00:00+00:00,6.4712,0.1802,0.0876
2015-01-04 19:00:00+00:00,6.2624,0.1802,0.0876
2015-01-04 20:00:00+00:00,5.8734,0.1802,0.0876
2015-01-04 21:00:00+00:00,5.41,0.1802,0.0876
2015-01-04 22:00:00+00:00,4.8432,0.1802,0.0876
2015-01-04 23:00:00+00:00,4.3556,0.1802,0.0876
2015-01-05 00:00:00+00:00,3.9986,0.1802,0.0876
2015-01-05 01:00:00+00:00,3.804,0.1802,0.0876
2015-01-05 02:00:00+00:00,3.7352,0.1802,0.0876
2015-01-05 03:00:00+00:00,3.776,0.1802,0.0876
2015-01-05 04:00:00+00:00,4.0214,0.1802,0.0876
2015-01-05 05:00:00+00:00,4.644,0.1802,0.0876
2015-01-05 06:00:00+00:00,5.357,0.1802,0.0876
2015-01-05 07:00:00+00:00,6.0042,0.1802,0.0876
2015-01-05 08:00:00+00:00,6.5088,0.1802,0.0876
2015-01-05 09:00:00+00:00,6.7244,0.1802,0.0876
2015-01-05 10:00:00+00:00,6.7692,0.1802,0.0876
2015-01-05 11:00:00+00:00,6.557,0.1802,0.0876
2015-01-05 12:00:00+00:00,6.3374,0.1802,0.0876
2015-01-05 13:00:00+00:00,6.1846,0.1802,0.0876
2015-01-05 14:00:00+00:00,6.2266,0.1802,0.0876
2015-01-05 15:00:00+00:00,6.4728,0.1802,0.0876
2015-01-05 16:00:00+00:00,7.323,0.1802,0.0876
2015-01-05 17:00:00+00:00,7.509,0.1802,0.0876
2015-01-05 18:00:00+00:00,7.4214,0.1802,0.0876
2015-01-05 19:00:00+00:00,6.9892,0.1802,0.0876
2015-01-05 20:00:00+00:00,6.4544,0.1802,0.0876
2015-01-05 21:00:00+00:00,5.8114,0.1802,0.0876
2015-01-05 22:00:00+00:00,5.1924,0.1802,0.0876
2015-01-05 23:00:00+00:00,4.6428,0.1802,0.0876
2015-01-06 00:00:00+00:00,4.2518,0.1802,0.0876
2015-01-06 01:00:00+00:00,4.0372,0.1802,0.0876
2015-01-06 02:00:00+00:00,3.9224,0.1802,0.0876
2015-01-06 03:00:00+00:00,3.9198,0.1802,0.0876
2015-01-06 04:00:00+00:00,4.023,0.1802,0.0876
2015-01-06 05:00:00+00:00,4.3308,0.1802,0.0876
2015-01-06 06:00:00+00:00,4.6198,0.1802,0.0876
2015-01-06 07:00:00+00:00,4.9158,0.1802,0.0876
2015-01-06 08:00:00+00:00,5.386,0.1802,0.0876
2015-01-06 09:00:00+00:00,5.7504,0.1802,0.0876
2015-01-06 10:00:00+00:00,6.0124,0.1802,0.0876
2015-01-06 11:00:00+00:00,5.8928,0.1802,0.0876
2015-01-06 12:00:00+00:00,5.475,0.1802,0.0876
2015-01-06 13:00:00+00:00,5.2276,0.1802,0.0876
2015-01-06 14:00:00+00:00,5.2332,0.1802,0.0876
2015-01-06 15:00:00+00:00,5.4444,0.1802,0.0876
2015-01-06 16:00:00+00:00,6.3358,0.1802,0.0876
2015-01-06 17:00:00+00:00,6.6918,0.1802,0.0876
2015-01-06 18:00:00+00:00,6.7356,0.1802,0.0876
2015-01-06 19:00:00+00:00,6.5378,0.1802,0.0876
2015-01-06 20:00:00+00:00,6.154,0.1802,0.0876
2015-01-06 21:00:00+00:00,5.6174,0.1802,0.0876
2015-01-06 22:00:00+00:00,4.983,0.1802,0.0876
2015-01-06 23:00:00+00:00,4.454,0.1802,0.0876
2015-01-07 00:00:00+00:00,4.1046,0.1802,0.0876
2015-01-07 01:00:00+00:00,3.9328,0.1802,0.0876
2015-01-07 02:00:00+00:00,3.9082,0.1802,0.0876
2015-01-07 03:00:00+00:00,3.993,0.1802,0.0876
2015-01-07 04:00:00+00:00,4.3664,0.1802,0.0876
2015-01-07 05:00:00+00:00,5.56,0.1802,0.0876
2015-01-07 06:00:00+00:00,6.9064,0.1802,0.0876
2015-01-07 07:00:00+00:00,7.8546,0.1802,0.0876
2015-01-07 08:00:00+00:00,8.4198,0.1802,0.0876
2015-01-07 09:00:00+00:00,8.4846,0.1802,0.0876
2015-01-07 10:00:00+00:00,8.441,0.1802,0.0876
2015-01-07 11:00:00+00:00,7.9544,0.1802,0.0876
2015-01-07 12:00:00+00:00,7.8668,0.1802,0.0876
2015-01-07 13:00:00+00:00,8.0844,0.1802,0.0876
2015-01-07 14:00:00+00:00,8.2362,0.1802,0.0876
2015-01-07 15:00:00+00:00,8.5006,0.1802,0.0876
2015-01-07 16:00:00+00:00,9.053,0.1802,0.0876
2015-01-07 17:00:00+00:00,8.8752,0.1802,0.0876
2015-01-07 18:00:00+00:00,8.6016,0.1802,0.0876
2015-01-07 19:00:00+00:00,8.0678,0.1802,0.0876
2015-01-07 20:00:00+00:00,7.4336,0.1802,0.0876
2015-01-07 21:00:00+00:00,6.5928,0.1802,0.0876
2015-01-07 22:00:00+00:00,5.8564,0.1802,0.0876
2015-01-07 23:00:00+00:00,5.224,0.1802,0.0876
2015-01-08 00:00:00+00:00,4.8512,0.1802,0.0876
2015-01-08 01:00:00+00:00,4.6674,0.1802,0.0876
2015-01-08 02:00:00+00:00,4.6116,0.1802,0.0876
2015-01-08 03:00:00+00:00,4.67,0.1802,0.0876
2015-01-08 04:00:00+00:00,4.9894,0.1802,0.0876
2015-01-08 05:00:00+00:00,6.037,0.1802,0.0876
2015-01-08 06:00:00+00:00,7.4378,0.1802,0.0876
2015-01-08 07:00:00+00:00,8.297,0.1802,0.0876
2015-01-08 08:00:00+00:00,8.6838,0.1802,0.0876
2015-01-08 09:00:00+00:00,8.661,0.1802,0.0876
2015-01-08 10:00:00+00:00,8.5466,0.1802,0.0876
2015-01-08 11:00:00+00:00,8.0578,0.1802,0.0876
2015-01-08 12:00:00+00:00,8.0764,0.1802,0.0876
2015-01-08 13:00:00+00:00,8.227,0.1802,0.0876
2015-01-08 14:00:00+00:00,8.2752,0.1802,0.0876
2015-01-08 15:00:00+00:00,8.4968,0.1802,0.0876
2015-01-08 16:00:00+00:00,9.0358,0.1802,0.0876
2015-01-08 17:00:00+00:00,8.9196,0.1802,0.0876
2015-01-08 18:00:00+00:00,8.6702,0.1802,0.0876
2015-01-08 19:00:00+00:00,8.1008,0.1802,0.0876
2015-01-08 20:00:00+00:00,7.4662,0.1802,0.0876
2015-01-08 21:00:00+00:00,6.6282,0.1802,0.0876
2015-01-08 22:00:00+00:00,5.9246,0.1802,0.0876
2015-01-08 23:00:00+00:00,5.372,0.1802,0.0876
2015-01-09 00:00:00+00:00,4.9638,0.1802,0.0876
2015-01-09 01:00:00+00:00,4.7858,0.1802,0.0876
2015-01-09 02:00:00+00:00,4.731,0.1802,0.0876
2015-01-09 03:00:00+00:00,4.7922,0.1802,0.0876
2015-01-09 04:00:00+00:00,5.092,0.1802,0.0876
2015-01-09 05:00:00+00:00,6.0878,0.1802,0.0876
2015-01-09 06:00:00+00:00,7.4368,0.1802,0.0876
2015-01-09 07:00:00+00:00,8.4022,0.1802,0.0876
2015-01-09 08:00:00+00:00,8.8036,0.1802,0.0876
2015-01-09 09:00:00+00:00,8.7356,0.1802,0.0876
2015-01-09 10:00:00+00:00,8.674,0.1802,0.0876
2015-01-09 11:00:00+00:00,8.2236,0.1802,0.0876
2015-01-09 12:00:00+00:00,8.1086,0.1802,0.0876
2015-01-09 13:00:00+00:00,8.188,0.1802,0.0876
2015-01-09 14:00:00+00:00,8.2208,0.1802,0.0876
2015-01-09 15:00:00+00:00,8.35,0.1802,0.0876
2015-01-09 16:00:00+00:00,8.9208,0.1802,0.0876
2015-01-09 17:00:00+00:00,8.857,0.1802,0.0876
2015-01-09 18:00:00+00:00,8.569,0.1802,0.0876
2015-01-09 19:00:00+00:00,8.0094,0.1802,0.0876
2015-01-09 20:00:00+00:00,7.3374,0.1802,0.0876
2015-01-09 21:00:00+00:00,6.5614,0.1802,0.0876
2015-01-09 22:00:00+00:00,5.8884,0.1802,0.0876
2015-01-09 23:00:00+00:00,5.2724,0.1802,0.0876
2015-01-10 00:00:00+00:00,4.9108,0.1802,0.0876
2015-01-10 01:00:00+00:00,4.724,0.1802,0.0876
2015-01-10 02:00:00+00:00,4.5958,0.1802,0.0876
2015-01-10 03:00:00+00:00,4.5834,0.1802,0.0876
2015-01-10 04:00:00+00:00,4.7196,0.1802,0.0876
2015-01-10 05:00:00+00:00,5.1964,0.1802,0.0876
2015-01-10 06:00:00+00:00,6.0044,0.1802,0.0876
