,Diesel,Solar,Hydrogen
0,500.0,500.0,270.0
1,500.0,500.0,270.0
2,500.0,500.0,270.0
3,500.0,500.0,270.0
4,500.0,500.0,270.0
5,500.0,500.0,270.0
6,500.0,500.0,270.0
7,500.0,500.0,270.0
8,500.0,500.0,270.0
9,500.0,500.0,270.0
10,500.0,500.0,270.0
11,500.0,500.0,270.0
12,500.0,500.0,270.0
13,500.0,500.0,270.0
14,500.0,500.0,270.0
15,500.0,500.0,270.0
16,500.0,500.0,270.0
17,500.0,500.0,270.0
18,500.0,500.0,270.0
19,500.0,500.0,270.0
20,500.0,500.0,270.0
21,500.0,500.0,270.0
22,500.0,500.0,270.0
23,500.0,500.0,270.0
24,500.0,500.0,270.0
25,500.0,500.0,270.0
26,500.0,500.0,270.0
27,500.0,500.0,270.0
28,500.0,500.0,270.0
29,500.0,500.0,270.0
30,500.0,500.0,270.0
31,500.0,500.0,270.0
32,500.0,500.0,270.0
33,159.0,159.0,270.0
34,159.0,159.0,270.0
35,159.0,159.0,270.0
36,159.0,159.0,270.0
37,500.0,500.0,270.0
38,500.0,500.0,270.0
39,500.0,500.0,270.0
40,500.0,500.0,270.0
41,500.0,500.0,270.0
42,500.0,500.0,270.0
43,500.0,500.0,270.0
44,500.0,500.0,270.0
45,500.0,500.0,270.0
46,500.0,500.0,270.0
47,500.0,500.0,270.0
48,500.0,500.0,270.0
49,500.0,500.0,270.0
50,500.0,500.0,270.0
51,500.0,500.0,270.0
52,500.0,500.0,270.0
53,500.0,500.0,270.0
54,500.0,500.0,270.0
55,500.0,500.0,270.0
56,500.0,500.0,270.0
57,500.0,500.0,270.0
58,159.0,159.0,270.0
59,159.0,159.0,270.0
60,159.0,159.0,270.0
61,500.0,500.0,270.0
62,500.0,500.0,270.0
63,500.0,500.0,270.0
64,500.0,500.0,270.0
65,500.0,500.0,270.0
66,500.0,500.0,270.0
67,500.0,500.0,270.0
68,500.0,500.0,270.0
69,500.0,500.0,270.0
70,500.0,500.0,270.0
71,500.0,500.0,270.0
72,500.0,500.0,270.0
73,500.0,500.0,270.0
74,500.0,500.0,270.0
75,500.0,500.0,270.0
76,500.0,500.0,270.0
77,500.0,500.0,270.0
78,500.0,500.0,270.0
79,500.0,500.0,270.0
80,500.0,500.0,270.0
81,500.0,500.0,270.0
82,500.0,500.0,270.0
83,500.0,500.0,270.0
84,500.0,500.0,270.0
85,500.0,500.0,270.0
86,500.0,500.0,270.0
87,500.0,500.0,270.0
88,500.0,500.0,270.0
89,500.0,500.0,270.0
90,500.0,500.0,270.0
91,500.0,500.0,270.0
92,500.0,500.0,270.0
93,500.0,500.0,270.0
94,500.0,500.0,270.0
95,500.0,500.0,270.0
96,500.0,500.0,270.0
97,500.0,500.0,270.0
98,500.0,500.0,270.0
99,500.0,500.0,270.0
100,500.0,500.0,270.0
101,500.0,500.0,270.0
102,500.0,500.0,270.0
103,500.0,500.0,270.0
104,500.0,500.0,270.0
105,500.0,500.0,270.0
106,500.0,500.0,270.0
107,500.0,500.0,270.0
108,500.0,500.0,270.0
109,500.0,500.0,270.0
110,500.0,500.0,270.0
111,500.0,500.0,270.0
112,500.0,500.0,270.0
113,500.0,500.0,270.0
114,500.0,500.0,270.0
115,500.0,500.0,270.0
116,500.0,500.0,270.0
117,500.0,500.0,270.0
118,500.0,500.0,270.0
119,500.0,500.0,270.0
120,500.0,500.0,270.0
121,500.0,500.0,270.0
122,500.0,500.0,270.0
123,500.0,500.0,270.0
124,500.0,500.0,270.0
125,500.0,500.0,270.0
126,500.0,500.0,270.0
127,500.0,500.0,270.0
128,159.0,159.0,270.0
129,159.0,159.0,270.0
130,159.0,159.0,270.0
131,159.0,159.0,270.0
132,159.0,159.0,270.0
133,500.0,500.0,270.0
134,500.0,500.0,270.0
135,500.0,500.0,270.0
136,500.0,500.0,270.0
137,500.0,500.0,270.0
138,500.0,500.0,270.0
139,500.0,500.0,270.0
140,500.0,500.0,270.0
141,500.0,500.0,270.0
142,500.0,500.0,270.0
143,500.0,500.0,270.0
144,500.0,500.0,270.0
145,500.0,500.0,270.0
146,500.0,500.0,270.0
147,500.0,500.0,270.0
148,500.0,500.0,270.0
149,500.0,500.0,270.0
150,500.0,500.0,270.0
151,500.0,500.0,270.0
152,159.0,159.0,270.0
153,159.0,159.0,270.0
154,159.0,159.0,270.0
155,159.0,159.0,270.0
156,159.0,159.0,270.0
157,500.0,500.0,270.0
158,500.0,500.0,270.0
159,500.0,500.0,270.0
160,500.0,500.0,270.0
161,500.0,500.0,270.0
162,500.0,500.0,270.0
163,500.0,500.0,270.0
164,500.0,500.0,270.0
165,500.0,500.0,270.0
166,500.0,500.0,270.0
167,500.0,500.0,270.0
168,500.0,500.0,270.0
169,500.0,500.0,270.0
170,500.0,500.0,270.0
171,500.0,500.0,270.0
172,500.0,500.0,270.0
173,500.0,500.0,270.0
174,500.0,500.0,270.0
175,500.0,500.0,270.0
176,500.0,500.0,270.0
177,159.0,159.0,270.0
178,159.0,159.0,270.0
179,159.0,159.0,270.0
180,159.0,159.0,270.0
181,500.0,500.0,270.0
182,500.0,500.0,270.0
183,500.0,500.0,270.0
184,500.0,500.0,270.0
185,500.0,500.0,270.0
186,500.0,500.0,270.0
187,500.0,500.0,270.0
188,500.0,500.0,270.0
189,500.0,500.0,270.0
190,500.0,500.0,270.0
191,500.0,500.0,270.0
192,500.0,500.0,270.0
193,500.0,500.0,270.0
194,500.0,500.0,270.0
195,500.0,500.0,270.0
196,500.0,500.0,270.0
197,500.0,500.0,270.0
198,500.0,500.0,270.0
199,500.0,500.0,270.0
200,159.0,159.0,270.0
201,159.0,159.0,270.0
202,159.0,159.0,270.0
203,159.0,159.0,270.0
204,159.0,159.0,270.0
205,500.0,500.0,270.0
206,500.0,500.0,270.0
207,500.0,500.0,270.0
208,500.0,500.0,270.0
209,500.0,500.0,270.0
210,500.0,500.0,270.0
211,500.0,500.0,270.0
212,500.0,500.0,270.0
213,500.0,500.0,270.0
214,500.0,500.0,270.0
215,500.0,500.0,270.0
216,500.0,500.0,270.0
217,500.0,500.0,270.0
218,500.0,500.0,270.0
219,500.0,500.0,270.0
220,500.0,500.0,270.0
221,500.0,500.0,270.0
222,500.0,500.0,270.0
223,500.0,500.0,270.0
224,500.0,500.0,270.0
225,159.0,159.0,270.0
226,159.0,159.0,270.0
227,159.0,159.0,270.0
228,159.0,159.0,270.0
229,500.0,500.0,270.0
230,500.0,500.0,270.0
231,500.0,500.0,270.0
232,500.0,500.0,270.0
233,500.0,500.0,270.0
234,500.0,500.0,270.0
235,500.0,500.0,270.0
236,500.0,500.0,270.0
237,500.0,500.0,270.0
238,500.0,500.0,270.0
239,500.0,500.0,270.0
240,500.0,500.0,270.0
241,500.0,500.0,270.0
242,500.0,500.0,270.0
243,500.0,500.0,270.0
244,500.0,500.0,270.0
245,500.0,500.0,270.0
246,500.0,500.0,270.0
247,159.0,159.0,270.0
248,159.0,159.0,270.0
249,159.0,159.0,270.0
250,159.0,159.0,270.0
251,159.0,159.0,270.0
252,159.0,159.0,270.0
253,159.0,159.0,270.0
254,500.0,500.0,270.0
255,500.0,500.0,270.0
256,500.0,500.0,270.0
257,500.0,500.0,270.0
258,500.0,500.0,270.0
259,500.0,500.0,270.0
260,500.0,500.0,270.0
261,500.0,500.0,270.0
262,500.0,500.0,270.0
263,500.0,500.0,270.0
264,500.0,500.0,270.0
265,500.0,500.0,270.0
266,500.0,500.0,270.0
267,500.0,500.0,270.0
268,500.0,500.0,270.0
269,500.0,500.0,270.0
270,500.0,500.0,270.0
271,500.0,500.0,270.0
272,500.0,500.0,270.0
273,500.0,500.0,270.0
274,500.0,500.0,270.0
275,500.0,500.0,270.0
276,500.0,500.0,270.0
277,500.0,500.0,270.0
278,500.0,500.0,270.0
279,500.0,500.0,270.0
280,500.0,500.0,270.0
281,500.0,500.0,270.0
282,500.0,500.0,270.0
283,500.0,500.0,270.0
284,500.0,500.0,270.0
285,500.0,500.0,270.0
286,500.0,500.0,270.0
287,500.0,500.0,270.0
288,500.0,500.0,270.0
289,500.0,500.0,270.0
290,500.0,500.0,270.0
291,500.0,500.0,270.0
292,500.0,500.0,270.0
293,500.0,500.0,270.0
294,500.0,500.0,270.0
295,500.0,500.0,270.0
296,159.0,159.0,270.0
297,159.0,159.0,270.0
298,159.0,159.0,270.0
299,159.0,159.0,270.0
300,159.0,159.0,270.0
301,500.0,500.0,270.0
302,500.0,500.0,270.0
303,500.0,500.0,270.0
304,500.0,500.0,270.0
305,500.0,500.0,270.0
306,500.0,500.0,270.0
307,500.0,500.0,270.0
308,500.0,500.0,270.0
309,500.0,500.0,270.0
310,500.0,500.0,270.0
311,500.0,500.0,270.0
312,500.0,500.0,270.0
313,500.0,500.0,270.0
314,500.0,500.0,270.0
315,500.0,500.0,270.0
316,500.0,500.0,270.0
317,500.0,500.0,270.0
318,500.0,500.0,270.0
319,500.0,500.0,270.0
320,159.0,159.0,270.0
321,159.0,159.0,270.0
322,159.0,159.0,270.0
323,159.0,159.0,270.0
324,159.0,159.0,270.0
325,159.0,159.0,270.0
326,500.0,500.0,270.0
327,500.0,500.0,270.0
328,500.0,500.0,270.0
329,500.0,500.0,270.0
330,500.0,500.0,270.0
331,500.0,500.0,270.0
332,500.0,500.0,270.0
333,500.0,500.0,270.0
334,500.0,500.0,270.0
335,500.0,500.0,270.0
336,500.0,500.0,270.0
337,500.0,500.0,270.0
338,500.0,500.0,270.0
339,500.0,500.0,270.0
340,500.0,500.0,270.0
341,500.0,500.0,270.0
342,500.0,500.0,270.0
343,500.0,500.0,270.0
344,159.0,159.0,270.0
345,159.0,159.0,270.0
346,159.0,159.0,270.0
347,159.0,159.0,270.0
348,159.0,159.0,270.0
349,159.0,159.0,270.0
350,500.0,500.0,270.0
351,500.0,500.0,270.0
352,500.0,500.0,270.0
353,500.0,500.0,270.0
354,500.0,500.0,270.0
355,500.0,500.0,270.0
356,500.0,500.0,270.0
357,500.0,500.0,270.0
358,500.0,500.0,270.0
359,500.0,500.0,270.0
360,500.0,500.0,270.0
361,500.0,500.0,270.0
362,500.0,500.0,270.0
363,500.0,500.0,270.0
364,500.0,500.0,270.0
365,500.0,500.0,270.0
366,500.0,500.0,270.0
367,500.0,500.0,270.0
368,159.0,159.0,270.0
369,159.0,159.0,270.0
370,159.0,159.0,270.0
371,159.0,159.0,270.0
372,159.0,159.0,270.0
373,159.0,159.0,270.0
374,500.0,500.0,270.0
375,500.0,500.0,270.0
376,500.0,500.0,270.0
377,500.0,500.0,270.0
378,500.0,500.0,270.0
379,500.0,500.0,270.0
380,500.0,500.0,270.0
381,500.0,500.0,270.0
382,500.0,500.0,270.0
383,500.0,500.0,270.0
384,500.0,500.0,270.0
385,500.0,500.0,270.0
386,500.0,500.0,270.0
387,500.0,500.0,270.0
388,500.0,500.0,270.0
389,500.0,500.0,270.0
390,500.0,500.0,270.0
391,500.0,500.0,270.0
392,159.0,159.0,270.0
393,159.0,159.0,270.0
394,159.0,159.0,270.0
395,159.0,159.0,270.0
396,159.0,159.0,270.0
397,159.0,159.0,270.0
398,500.0,500.0,270.0
399,500.0,500.0,270.0
400,500.0,500.0,270.0
401,500.0,500.0,270.0
402,500.0,500.0,270.0
403,500.0,500.0,270.0
404,500.0,500.0,270.0
405,500.0,500.0,270.0
406,500.0,500.0,270.0
407,500.0,500.0,270.0
408,500.0,500.0,270.0
409,500.0,500.0,270.0
410,500.0,500.0,270.0
411,500.0,500.0,270.0
412,500.0,500.0,270.0
413,500.0,500.0,270.0
414,500.0,500.0,270.0
415,500.0,500.0,270.0
416,500.0,500.0,270.0
417,500.0,500.0,270.0
418,500.0,500.0,270.0
419,500.0,500.0,270.0
420,500.0,500.0,270.0
421,500.0,500.0,270.0
422,500.0,500.0,270.0
423,500.0,500.0,270.0
424,500.0,500.0,270.0
425,500.0,500.0,270.0
426,500.0,500.0,270.0
427,500.0,500.0,270.0
428,500.0,500.0,270.0
429,500.0,500.0,270.0
430,500.0,500.0,270.0
431,500.0,500.0,270.0
432,500.0,500.0,270.0
433,500.0,500.0,270.0
434,500.0,500.0,270.0
435,500.0,500.0,270.0
436,500.0,500.0,270.0
437,500.0,500.0,270.0
438,500.0,500.0,270.0
439,500.0,500.0,270.0
440,500.0,500.0,270.0
441,500.0,500.0,270.0
442,159.0,159.0,270.0
443,500.0,500.0,270.0
444,500.0,500.0,270.0
445,500.0,500.0,270.0
446,500.0,500.0,270.0
447,500.0,500.0,270.0
448,500.0,500.0,270.0
449,500.0,500.0,270.0
450,500.0,500.0,270.0
451,500.0,500.0,270.0
452,500.0,500.0,270.0
453,500.0,500.0,270.0
454,500.0,500.0,270.0
455,500.0,500.0,270.0
456,500.0,500.0,270.0
457,500.0,500.0,270.0
458,500.0,500.0,270.0
459,500.0,500.0,270.0
460,500.0,500.0,270.0
461,500.0,500.0,270.0
462,500.0,500.0,270.0
463,500.0,500.0,270.0
464,159.0,159.0,270.0
465,159.0,159.0,270.0
466,159.0,159.0,270.0
467,159.0,159.0,270.0
468,500.0,500.0,270.0
469,500.0,500.0,270.0
470,500.0,500.0,270.0
471,500.0,500.0,270.0
472,500.0,500.0,270.0
473,500.0,500.0,270.0
474,500.0,500.0,270.0
475,500.0,500.0,270.0
476,500.0,500.0,270.0
477,500.0,500.0,270.0
478,500.0,500.0,270.0
479,500.0,500.0,270.0
480,500.0,500.0,270.0
481,500.0,500.0,270.0
482,500.0,500.0,270.0
483,500.0,500.0,270.0
484,500.0,500.0,270.0
485,500.0,500.0,270.0
486,500.0,500.0,270.0
487,500.0,500.0,270.0
488,500.0,500.0,270.0
489,159.0,159.0,270.0
490,159.0,159.0,270.0
491,159.0,159.0,270.0
492,159.0,159.0,270.0
493,500.0,500.0,270.0
494,500.0,500.0,270.0
