,Diesel,Solar,Hydrogen
0,2.49994,-2.4999399999999996,0.0
1,2.49994,-2.4999399999999996,0.0
2,2.38019,-2.380195,0.0
3,2.32626,-2.3262649999999994,0.0
4,2.34129,-2.34129,0.0
5,2.36191,-2.3619149999999998,0.0
6,2.45268,-2.45268,0.0
7,2.37999,-2.379988,0.0
8,2.28987,-2.289874,0.0
9,2.23222,-2.2322200000000003,0.0
10,2.23582,-2.235815,0.0
11,2.07565,-2.0756500000000004,0.0
12,1.95943,-1.9594349999999998,0.0
13,2.4087,-2.4087039999999997,0.0
14,3.0182,-3.0182019999999996,0.0
15,3.27515,-3.2751539999999997,0.0
16,2.87331,-2.87331,0.0
17,3.60212,-3.6021199999999998,0.0
18,3.58375,-3.58375,0.0
19,2.92836,-2.9283626000000003,0.0
20,3.24731,-3.24731,0.0
21,3.10765,-3.1076550000000003,0.0
22,2.84815,-2.84815,0.0
23,2.60686,-2.60686,0.0
24,2.5665,-2.5664949999999997,0.0
25,2.47134,-2.47134,0.0
26,2.39353,-2.39353,0.0
27,2.37899,-2.378985,0.0
28,2.46733,-2.46733,0.0
29,2.62925,-2.6292515000000005,0.0
30,2.59882,-2.5988249999999997,0.0
31,2.15734,-2.157345,0.0
32,1.57378,-1.5737749999999997,0.0
33,1.5,-1.499996,1.9999999995023998e-07
34,1.5,-1.4999970000000002,-1.0000000005838672e-07
35,1.5,-1.5000030000000004,-4.0000000001150227e-07
36,1.5,-1.499997,4.0000000001150227e-07
37,1.85141,-1.8514100000000002,0.0
38,3.00203,-3.00203,0.0
39,3.63847,-3.63847374,0.0
40,3.94868,-3.94868,0.0
41,3.94786,-3.94786,0.0
42,3.89514,-3.895145,0.0
43,3.74799,-3.7479899999999997,0.0
44,3.51383,-3.513835,0.0
45,3.31824,-3.318235,0.0
46,3.04548,-3.04548,0.0
47,2.72107,-2.72107,0.0
48,2.70342,-2.70342,0.0
49,2.03334,-2.0333398,0.0
50,2.52205,-2.52205,0.0
51,2.49838,-2.4983850000000003,0.0
52,2.59583,-2.5958249999999996,0.0
53,2.73282,-2.7328168699999997,0.0
54,2.65827,-2.6582670000000004,0.0
55,2.387,-2.386999,0.0
56,1.965,-1.965005,0.0
57,1.63697,-1.636965,0.0
58,1.5,-1.4999969999999998,-1.0000000000287557e-07
59,1.5,-1.4999949999999997,0.0
60,1.5,-1.4999969999999998,-6.000000000172534e-07
61,1.87516,-1.8751650000000002,0.0
62,2.99945,-2.99945,0.0
63,3.68067,-3.6806706,0.0
64,4.04627,-4.04627,0.0
65,4.04923,-4.04923,0.0
66,3.95281,-3.9528049999999997,0.0
67,3.7493,-3.749295,0.0
68,3.49343,-3.49343,0.0
69,3.26906,-3.26906,0.0
70,2.9843,-2.984305,0.0
71,2.72499,-2.724995,0.0
72,2.69218,-2.692185,0.0
73,2.5892,-2.589195,0.0
74,2.46775,-2.467755,0.0
75,2.43529,-2.435295,0.0
76,2.47628,-2.47628,0.0
77,2.51188,-2.51187874,0.0
78,2.49693,-2.496929,0.0
79,2.26458,-2.264577,0.0
80,1.98187,-1.9818750000000003,0.0
81,1.85615,-1.85615,0.0
82,1.55164,-1.5516349999999999,0.0
83,1.51726,-1.5172649999999999,0.0
84,1.71683,-1.716825,0.0
85,2.37005,-2.370052,0.0
86,3.07091,-3.0709109999999997,0.0
87,3.41277,-3.41277187,0.0
88,3.70081,-3.700815,0.0
89,3.70743,-3.707435,0.0
90,3.70328,-3.703275,0.0
91,3.58383,-3.58383,0.0
92,3.34401,-3.344005,0.0
93,3.15345,-3.153445,0.0
94,2.82388,-2.82388,0.0
95,2.54181,-2.54181,0.0
