,Diesel Gen,PV Park
0,2.49994,0.113475
1,2.49994,0.113475
2,2.38019,0.113475
3,2.32626,0.113475
4,2.34129,0.113475
5,2.36191,0.113475
6,2.45268,0.113475
7,2.37999,0.489362
8,2.28987,0.945626
9,2.23222,1.29078
10,2.23582,1.38298
11,2.07565,1.38061
12,1.95943,1.17494
13,2.4087,0.756501
14,3.0182,0.208038
15,3.27515,0.035461
16,2.87331,0.0
17,3.60212,0.0
18,3.58375,0.0
19,2.92836,0.0
20,3.24731,0.0
21,3.10765,0.0
22,2.84815,0.0
23,2.60686,0.0
24,2.5665,0.0
25,2.47134,0.0
26,2.39353,0.0
27,2.37899,0.0
28,2.46733,0.0
29,2.62925,0.0165485
30,2.59882,0.264775
31,2.15734,1.03546
32,1.57378,1.8818
33,1.5,2.56738
34,1.5,2.96927
35,1.5,2.97872
36,1.5,2.59102
37,1.85141,1.67376
38,3.00203,0.50591
39,3.63847,0.00945626
40,3.94868,0.0
41,3.94786,0.0
42,3.89514,0.0
43,3.74799,0.0
44,3.51383,0.0
45,3.31824,0.0
46,3.04548,0.0
47,2.72107,0.0
48,2.70342,0.0
49,2.03334,0.0
50,2.52205,0.0
51,2.49838,0.0
52,2.59583,0.0
53,2.73282,0.00472813
54,2.65827,0.295508
55,2.387,0.933806
56,1.965,1.54137
57,1.63697,1.98582
58,1.5,2.59102
59,1.5,2.61939
60,1.5,2.47518
61,1.87516,1.66903
62,2.99945,0.543735
63,3.68067,0.0141844
64,4.04627,0.0
65,4.04923,0.0
66,3.95281,0.0
67,3.7493,0.0
68,3.49343,0.0
69,3.26906,0.0
70,2.9843,0.0
71,2.72499,0.0
72,2.69218,0.0
73,2.5892,0.0
74,2.46775,0.0
75,2.43529,0.0
76,2.47628,0.0
77,2.51188,0.00945626
78,2.49693,0.122931
79,2.26458,0.638298
80,1.98187,1.23877
81,1.85615,1.58629
82,1.55164,1.98818
83,1.51726,1.93144
84,1.71683,1.51064
85,2.37005,0.917258
86,3.07091,0.229314
87,3.41277,0.00472813
88,3.70081,0.0
89,3.70743,0.0
90,3.70328,0.0
91,3.58383,0.0
92,3.34401,0.0
93,3.15345,0.0
94,2.82388,0.0
95,2.54181,0.0
96,2.50049,0.0
97,2.40489,0.0
