,PV Park
0,0.11347517730496454
1,0.11347517730496454
2,0.11347517730496454
3,0.11347517730496454
4,0.11347517730496454
5,0.11347517730496454
6,0.11347517730496454
7,0.48936170212765956
8,0.9456264775413712
9,1.2907801418439717
10,1.3829787234042554
11,1.3806146572104019
12,1.1749408983451537
13,0.7565011820330969
14,0.20803782505910165
15,0.03546099290780142
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.016548463356973995
30,0.2647754137115839
31,1.0354609929078014
32,1.8817966903073287
33,2.5673758865248226
34,2.9692671394799053
35,2.978723404255319
36,2.591016548463357
37,1.673758865248227
38,0.5059101654846335
39,0.009456264775413711
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.004728132387706856
54,0.29550827423167847
55,0.933806146572104
56,1.541371158392435
57,1.9858156028368794
58,2.591016548463357
59,2.619385342789598
60,2.475177304964539
61,1.66903073286052
62,0.5437352245862884
63,0.014184397163120567
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.009456264775413711
78,0.12293144208037825
79,0.6382978723404256
80,1.2387706855791962
81,1.58628841607565
82,1.988179669030733
83,1.9314420803782506
84,1.5106382978723405
85,0.91725768321513
86,0.2293144208037825
87,0.004728132387706856
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.17257683215130024
103,0.8628841607565012
104,1.7163120567375887
105,2.2127659574468086
106,2.2624113475177303
107,2.099290780141844
108,1.8203309692671394
109,1.1371158392434988
110,0.3475177304964539
111,0.04728132387706856
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.037825059101654845
126,0.3404255319148936
127,1.4799054373522458
128,2.479905437352246
129,2.8037825059101653
130,2.8226950354609928
131,2.6761229314420802
132,2.276595744680851
133,1.4515366430260048
134,0.4160756501182033
135,0.037825059101654845
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.028368794326241134
150,0.4491725768321513
151,1.789598108747045
152,2.9645390070921986
153,3.541371158392435
154,3.706855791962175
155,3.5319148936170213
156,3.016548463356974
157,2.0401891252955084
158,0.6713947990543735
159,0.03309692671394799
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.02127659574468085
174,0.3640661938534279
175,1.4846335697399526
176,2.607565011820331
177,3.186761229314421
178,3.4231678486997636
179,3.219858156028369
180,2.673758865248227
181,1.6335697399527187
182,0.5177304964539007
183,0.02127659574468085
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.002364066193853428
198,0.44680851063829785
199,1.8534278959810875
200,3.033096926713948
201,3.600472813238771
202,3.773049645390071
203,3.5460992907801416
204,2.780141843971631
205,1.9101654846335698
206,0.6572104018912529
207,0.0591016548463357
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.05200945626477541
222,0.2765957446808511
223,0.9574468085106383
224,1.9267139479905437
225,2.75177304964539
