,Line
0,-2.49994
1,-2.49994
2,-2.38019
3,-2.32626
4,-2.34129
5,-2.36191
6,-2.45268
7,-2.37999
8,-2.28987
9,-2.23222
10,-2.23582
11,-2.07565
12,-1.95943
13,-2.4087
14,-3.0182
15,-3.27515
16,-2.87331
17,-3.60212
18,-3.58375
19,-2.92836
20,-3.24731
21,-3.10765
22,-2.84815
23,-2.60686
24,-2.5665
25,-2.47134
26,-2.39353
27,-2.37899
28,-2.46733
29,-2.62925
30,-2.59882
31,-2.15734
32,-1.57378
33,-1.5
34,-1.5
35,-1.5
36,-1.5
37,-1.85141
38,-3.00203
39,-3.63847
40,-3.94868
41,-3.94786
42,-3.89514
43,-3.74799
44,-3.51383
45,-3.31824
46,-3.04548
47,-2.72107
48,-2.70342
49,-2.03334
50,-2.52205
51,-2.49838
52,-2.59583
53,-2.73282
54,-2.65827
55,-2.387
56,-1.965
57,-1.63697
58,-1.5
59,-1.5
60,-1.5
61,-1.87516
62,-2.99945
63,-3.68067
64,-4.04627
65,-4.04923
66,-3.95281
67,-3.7493
68,-3.49343
69,-3.26906
70,-2.9843
71,-2.72499
72,-2.69218
73,-2.5892
74,-2.46775
75,-2.43529
76,-2.47628
77,-2.51188
78,-2.49693
79,-2.26458
80,-1.98187
81,-1.85615
82,-1.55164
83,-1.51726
84,-1.71683
85,-2.37005
86,-3.07091
87,-3.41277
88,-3.70081
89,-3.70743
90,-3.70328
91,-3.58383
92,-3.34401
93,-3.15345
94,-2.82388
95,-2.54181
96,-2.50049
97,-2.40489
98,-2.32848
99,-2.34541
100,-2.54311
101,-2.85426
102,-3.02209
103,-2.74891
104,-2.12074
105,-1.70861
106,-1.72059
107,-1.89522
108,-2.06904
109,-2.8013
110,-3.61105
111,-3.95732
112,-4.22866
113,-4.23207
114,-3.50824
115,-3.94899
116,-3.61858
117,-3.38809
118,-3.21426
119,-2.81817
120,-2.78877
121,-2.67115
122,-2.57904
123,-2.5755
124,-2.10829
125,-2.71886
126,-2.57776
127,-1.66059
128,-1.5
129,-1.5
130,-1.5
131,-1.5
132,-1.5
133,-2.00498
134,-3.05891
135,-3.56107
136,-3.92087
137,-3.94111
138,-3.92896
139,-3.79135
140,-2.87398
141,-3.38569
142,-3.08088
143,-2.79644
144,-2.11556
145,-2.69827
146,-2.55904
147,-2.65402
148,-2.84879
149,-3.19637
150,-3.11595
151,-2.15712
152,-1.5
153,-1.5
154,-1.5
155,-1.5
156,-1.5
157,-2.03459
158,-3.39123
159,-4.16503
160,-3.85608
161,-4.55387
162,-4.4937
163,-4.21089
164,-3.84279
165,-3.5865
166,-2.59474
167,-2.25807
168,-2.93459
169,-2.85398
170,-2.77629
171,-2.78148
172,-3.02659
173,-3.47193
174,-3.40583
175,-2.60388
176,-1.6561
177,-1.5
178,-1.5
179,-1.5
180,-1.5
181,-2.56598
182,-3.68143
183,-4.28916
184,-4.65552
185,-3.99215
186,-4.59755
187,-4.26375
188,-3.86488
189,-3.57494
190,-3.22375
191,-2.92251
192,-2.89049
193,-2.77977
194,-2.73013
195,-2.76103
196,-2.9973
197,-3.48781
198,-3.29434
199,-2.15678
200,-1.5
201,-1.5
202,-1.5
203,-1.5
204,-1.5
205,-2.03144
206,-3.28404
207,-4.04327
208,-4.46617
209,-4.46145
210,-4.3789
211,-3.36227
212,-3.70714
213,-3.18216
214,-2.44871
215,-2.83766
216,-2.80981
217,-2.70612
218,-2.60555
219,-2.58438
220,-2.65409
221,-2.7719
222,-2.81147
223,-2.52725
224,-1.73986
225,-1.5
226,-1.5
227,-1.5
228,-1.5
229,-1.77358
230,-2.88365
231,-3.60977
232,-3.96521
233,-3.9602
234,-3.85954
235,-2.97215
236,-3.40113
237,-3.19988
238,-2.23165
239,-1.98683
240,-2.64199
241,-2.50489
242,-2.40375
243,-1.69173
244,-2.42821
245,-2.44818
246,-2.0633
247,-1.5
248,-1.5
249,-1.5
250,-1.5
251,-1.5
252,-1.5
253,-1.5
254,-2.43282
255,-3.09759
256,-2.82892
257,-2.87054
258,-3.53219
259,-3.4148
260,-3.16628
261,-2.93453
262,-1.95609
263,-1.69941
264,-1.68049
265,-1.59706
266,-2.205
267,-1.55827
268,-2.48866
269,-2.93457
270,-3.07893
271,-3.00097
272,-2.4604
273,-1.98146
274,-1.72037
