,load 1
0,2.613415
1,2.613415
2,2.4936700000000003
3,2.4397399999999996
4,2.454765
5,2.47539
6,2.566155
7,2.86935
8,3.2355
9,3.523
10,3.618795
11,3.4562600000000003
12,3.134375
13,3.165205
14,3.2262399999999998
15,3.310615
16,3.56031
17,3.6021199999999998
18,3.58375
19,3.46403
20,3.24731
21,3.1076550000000003
22,2.84815
23,2.60686
24,2.5664949999999997
25,2.47134
26,2.39353
27,2.378985
28,2.46733
29,2.6458000000000004
30,2.8636
31,3.192805
32,3.4555749999999996
33,3.54794
34,3.58977
35,3.5909850000000003
36,3.4665749999999997
37,3.52517
38,3.50794
39,3.6479299999999997
40,3.94868
41,3.94786
42,3.895145
43,3.7479899999999997
44,3.513835
45,3.318235
46,3.04548
47,2.72107
48,2.70342
49,2.6147199999999997
50,2.52205
51,2.4983850000000003
52,2.5958249999999996
53,2.737545
54,2.9537750000000003
55,3.320805
56,3.506375
57,3.622785
58,3.6719899999999996
59,3.631045
60,3.4983049999999998
61,3.544195
62,3.543185
63,3.694855
64,4.04627
65,4.04923
66,3.9528049999999997
67,3.749295
68,3.49343
69,3.26906
70,2.984305
71,2.724995
72,2.692185
73,2.589195
74,2.467755
75,2.435295
76,2.47628
77,2.521335
78,2.61986
79,2.902875
80,3.220645
81,3.44244
82,3.539815
83,3.448705
84,3.227465
85,3.2873099999999997
86,3.3002249999999997
87,3.4175
88,3.700815
89,3.707435
90,3.703275
91,3.58383
92,3.344005
93,3.153445
94,2.82388
95,2.54181
96,2.500495
97,2.40489
98,2.328475
99,2.3454099999999998
100,2.543115
101,2.854255
102,3.194665
103,3.611795
104,3.837055
105,3.921375
106,3.983005
107,3.994515
108,3.88937
109,3.9384200000000003
110,3.9585700000000004
111,4.0046
112,4.22866
113,4.2320649999999995
114,4.19524
115,3.94899
116,3.618585
117,3.388095
118,3.2142600000000003
119,2.8181700000000003
120,2.7887649999999997
121,2.671145
122,2.5790349999999997
123,2.5755
124,2.62698
125,2.75669
126,2.91819
127,3.1405
128,3.32621
129,3.552375
130,3.716805
131,3.681655
132,3.411375
133,3.45652
134,3.474985
135,3.598895
136,3.9208649999999996
137,3.941115
138,3.9289650000000003
139,3.791355
140,3.56098
141,3.38569
142,3.0808850000000003
143,2.79644
144,2.802555
145,2.6982649999999997
146,2.62514
147,2.65402
148,2.848795
149,3.224735
150,3.565125
151,3.94672
152,4.138225
153,4.216114999999999
154,4.2250749999999995
155,4.203945
156,4.049055
157,4.0747800000000005
158,4.06262
159,4.198125
160,4.543075
161,4.553875
162,4.4937
163,4.210885
164,3.8427849999999997
165,3.5865050000000003
166,3.2817350000000003
167,2.945065
168,2.934595
169,2.8539749999999997
170,2.7762849999999997
171,2.781485
172,3.02659
173,3.49321
174,3.7699000000000003
175,4.08851
176,4.263665
177,4.308045
178,4.268
179,4.317915
180,4.148765
181,4.199545
182,4.19916
183,4.31044
184,4.655525
185,4.67915
186,4.597555000000001
187,4.263755
188,3.864875
