,H2
0,13.6934
1,13.6934
2,13.6934
3,13.6934
4,13.6934
5,13.6934
6,13.6934
7,13.6934
8,13.6934
9,13.6934
10,13.6934
11,13.6934
12,13.6934
13,13.6934
14,13.6934
15,13.6934
16,12.5484
17,12.5484
18,12.5484
19,11.6557
20,11.6557
21,11.6557
22,11.6557
23,11.6557
24,11.6557
25,11.6557
26,11.6557
27,11.6557
28,11.6557
29,11.6557
30,11.6557
31,11.6557
32,11.6557
33,12.0193
34,12.6349
35,13.2563
36,13.6934
37,13.6934
38,13.6934
39,13.6934
40,13.6934
41,13.6934
42,13.6934
43,13.6934
44,13.6934
45,13.6934
46,13.6934
47,13.6934
48,13.6934
49,12.7245
50,12.7245
51,12.7245
52,12.7245
53,12.7245
54,12.7245
55,12.7245
56,12.7245
57,12.7245
58,13.0178
59,13.3596
60,13.6934
61,13.6934
62,13.6934
63,13.6934
64,13.6934
65,13.6934
66,13.6934
67,13.6934
68,13.6934
69,13.6934
70,13.6934
71,13.6934
72,13.6934
73,13.6934
74,13.6934
75,13.6934
76,13.6934
77,13.6934
78,13.6934
79,13.6934
80,13.6934
81,13.6934
82,13.6934
83,13.6934
84,13.6934
85,13.6934
86,13.6934
87,13.6934
88,13.6934
89,13.6934
90,13.6934
91,13.6934
92,13.6934
93,13.6934
94,13.6934
95,13.6934
96,13.6934
97,13.6934
98,13.6934
99,13.6934
100,13.6934
101,13.6934
102,13.6934
103,13.6934
104,13.6934
105,13.6934
106,13.6934
107,13.6934
108,13.6934
109,13.6934
110,13.6934
111,13.6934
112,13.6934
113,13.6934
114,12.5484
115,12.5484
116,12.5484
117,12.5484
118,12.5484
119,12.5484
120,12.5484
121,12.5484
122,12.5484
123,12.5484
124,11.684
125,11.684
126,11.684
127,11.684
128,12.1416
129,12.6675
130,13.0917
131,13.4378
132,13.6934
133,13.6934
134,13.6934
135,13.6934
136,13.6934
137,13.6934
138,13.6934
139,13.6934
140,12.5484
141,12.5484
142,12.5484
143,12.5484
144,11.4034
145,11.4034
146,11.2933
147,11.2933
148,11.2933
149,11.2933
150,11.2933
151,11.2933
152,11.5217
153,12.0994
154,12.7866
155,13.3662
156,13.6934
157,13.6934
158,13.6934
159,13.6934
160,12.5484
161,12.5484
162,12.5484
163,12.5484
164,12.5484
165,12.5484
166,11.4034
167,10.2584
168,10.2584
169,10.2584
170,10.2584
171,10.2584
172,10.2584
173,10.2584
174,10.2584
175,10.2584
176,10.2584
177,10.5235
178,10.9822
179,11.2635
180,11.281
181,11.281
182,11.281
183,11.281
184,11.281
185,10.136
186,10.136
187,10.136
188,10.136
189,10.136
190,10.136
191,10.136
192,10.136
193,10.136
194,10.136
195,10.136
196,10.136
197,10.136
198,10.136
199,10.136
200,10.4587
201,11.19
202,12.0608
203,12.8189
204,13.1424
205,13.1424
206,13.1424
207,13.1424
208,13.1424
209,13.1424
210,13.1424
211,11.9974
212,11.9974
213,11.5698
214,10.4248
215,10.4248
216,10.4248
217,10.4248
218,10.4248
219,10.4248
220,10.4248
221,10.4248
222,10.4248
223,10.4248
224,10.4248
225,10.8256
226,11.4192
227,12.0771
228,12.569
229,12.569
230,12.569
231,12.569
232,12.569
233,12.569
234,12.569
235,11.424
236,11.424
237,11.424
238,10.279
239,9.13398
240,9.13398
241,9.13398
242,9.13398
243,7.98898
244,7.98898
245,7.98898
246,7.98898
247,8.33616
248,9.22529
249,10.3535
250,11.5826
251,12.7204
