Datetime,GR_solar_generation,GR_load
2014-12-31 23:00:00+00:00,,
2015-01-01 00:00:00+00:00,,
2015-01-01 01:00:00+00:00,,5226.83
2015-01-01 02:00:00+00:00,,4987.34
2015-01-01 03:00:00+00:00,,4879.48
2015-01-01 04:00:00+00:00,,4909.53
2015-01-01 05:00:00+00:00,,4950.78
2015-01-01 06:00:00+00:00,48,5132.31
2015-01-01 07:00:00+00:00,207,5738.7
2015-01-01 08:00:00+00:00,400,6471
2015-01-01 09:00:00+00:00,546,7046
2015-01-01 10:00:00+00:00,585,7237.59
2015-01-01 11:00:00+00:00,584,6912.52
2015-01-01 12:00:00+00:00,497,6268.75
2015-01-01 13:00:00+00:00,320,6330.41
2015-01-01 14:00:00+00:00,88,6452.48
2015-01-01 15:00:00+00:00,15,6621.23
2015-01-01 16:00:00+00:00,0,7120.62
2015-01-01 17:00:00+00:00,0,7204.24
2015-01-01 18:00:00+00:00,0,7167.5
2015-01-01 19:00:00+00:00,0,6928.06
2015-01-01 20:00:00+00:00,0,6494.62
2015-01-01 21:00:00+00:00,0,6215.31
2015-01-01 22:00:00+00:00,0,5696.3
2015-01-01 23:00:00+00:00,0,5213.72
2015-01-02 00:00:00+00:00,0,5132.99
2015-01-02 01:00:00+00:00,0,4942.68
2015-01-02 02:00:00+00:00,0,4787.06
2015-01-02 03:00:00+00:00,0,4757.97
2015-01-02 04:00:00+00:00,0,4934.66
2015-01-02 05:00:00+00:00,7,5291.6
2015-01-02 06:00:00+00:00,112,5727.2
2015-01-02 07:00:00+00:00,438,6385.61
2015-01-02 08:00:00+00:00,796,6911.15
2015-01-02 09:00:00+00:00,1086,7095.88
2015-01-02 10:00:00+00:00,1256,7179.54
2015-01-02 11:00:00+00:00,1260,7181.97
2015-01-02 12:00:00+00:00,1096,6933.15
2015-01-02 13:00:00+00:00,708,7050.34
2015-01-02 14:00:00+00:00,214,7015.88
2015-01-02 15:00:00+00:00,4,7295.86
2015-01-02 16:00:00+00:00,0,7897.36
2015-01-02 17:00:00+00:00,0,7895.72
2015-01-02 18:00:00+00:00,0,7790.29
2015-01-02 19:00:00+00:00,0,7495.98
2015-01-02 20:00:00+00:00,0,7027.67
2015-01-02 21:00:00+00:00,0,6636.47
2015-01-02 22:00:00+00:00,0,6090.96
2015-01-02 23:00:00+00:00,0,5442.14
2015-01-03 00:00:00+00:00,0,5406.84
2015-01-03 01:00:00+00:00,0,5229.44
2015-01-03 02:00:00+00:00,0,5044.1
2015-01-03 03:00:00+00:00,0,4996.77
2015-01-03 04:00:00+00:00,0,5191.65
2015-01-03 05:00:00+00:00,2,5475.09
2015-01-03 06:00:00+00:00,125,5907.55
2015-01-03 07:00:00+00:00,395,6641.61
2015-01-03 08:00:00+00:00,652,7012.75
2015-01-03 09:00:00+00:00,840,7245.57
