Component,carrier,bus,from_bus,to_bus,p_nom,capital_cost,marginal_cost,input_series_source_type,input_series_source_uri,use_case_name,investment_period,efficiency,timestamp
Bus,AC,Bus 0,,,,,,,,,,,
Bus,AC,Bus 1,,,,,,,,,,,
Bus,hydrogen,Bus 2,,,,,,,,,,,
Generator,Diesel,Bus 0,,,5.0,0.0,500.0,,,Usecase 2030,,,
Generator,Solar,Bus 1,,,1.0,0.0,24.0,csv file,pv_data1.csv,Usecase 2030,,,
Line,AC,,Bus 0,Bus 1,,,,,,,,,
Load,AC,Bus 1,,,,,,csv file,load_data1.csv,,5.0,,
Link,Electrolysis,,Bus 1,Bus 2,2.6,350000.0,30.0,,,,,0.7,
Link,Fuel Cell,,Bus 2,Bus 1,1.2,350000.0,30.0,,,,,0.6,
Store,Hydrogen Store,Bus 2,,,15.0,30000.0,10.0,,,,,,
