snapshot,Generator 0,Generator 1,Generator 2,Electrolysis,Fuel Cell,Load 0,Load 1
2019-01-01 00:00:00+00:00,10.0,1.0,2.0,2.54962,0.0,5.22519,5.22519
2019-01-01 01:00:00+00:00,10.0,1.0,2.0,3.02746,0.0,4.98627,4.98627
2019-01-01 02:00:00+00:00,10.0,1.0,2.0,3.48236,0.0,4.75882,4.75882
2019-01-01 03:00:00+00:00,9.90522,1.0,2.0,3.74454,0.0,4.5803400000000005,4.5803400000000005
2019-01-01 04:00:00+00:00,9.95454,1.0,2.0,3.74454,0.0,4.605,4.605
2019-01-01 05:00:00+00:00,10.0,1.0,2.0,3.50832,0.0,4.74584,4.74584
2019-01-01 06:00:00+00:00,10.0,1.0,2.0,3.06586,0.0,4.96707,4.96707
2019-01-01 07:00:00+00:00,10.0,1.0,2.0,1.89744,0.0,5.551279999999999,5.551279999999999
2019-01-01 08:00:00+00:00,10.0,1.0,2.0,0.49868,0.0,6.25066,6.25066
2019-01-01 09:00:00+00:00,10.0,1.0,2.0,0.0,1.00517,6.80155,6.80155
2019-01-01 10:00:00+00:00,10.0,1.0,2.0,0.0,1.30097,6.89029,6.89029
2019-01-01 11:00:00+00:00,10.0,1.0,2.0,0.0,0.249467,6.57484,6.57484
2019-01-01 12:00:00+00:00,10.0,1.0,2.0,1.21102,0.0,5.894489999999999,5.894489999999999
2019-01-01 13:00:00+00:00,10.0,1.0,2.0,1.23922,0.0,5.88039,5.88039
2019-01-01 14:00:00+00:00,10.0,1.0,2.0,1.1346,0.0,5.9327,5.9327
2019-01-01 15:00:00+00:00,10.0,1.0,2.0,1.01,0.0,5.995,5.995
2019-01-01 16:00:00+00:00,10.0,1.0,2.0,0.0,0.313967,6.594189999999999,6.594189999999999
2019-01-01 17:00:00+00:00,10.0,1.0,2.0,0.0,0.621767,6.686529999999999,6.686529999999999
2019-01-01 18:00:00+00:00,10.0,1.0,2.0,0.0,0.5195,6.65585,6.65585
2019-01-01 19:00:00+00:00,10.0,1.0,2.0,0.04196,0.0,6.47902,6.47902
2019-01-01 20:00:00+00:00,10.0,1.0,2.0,0.70574,0.0,6.14713,6.14713
2019-01-01 21:00:00+00:00,10.0,1.0,2.0,1.176,0.0,5.912,5.912
2019-01-01 22:00:00+00:00,10.0,1.0,2.0,2.3511,0.0,5.32445,5.32445
2019-01-01 23:00:00+00:00,10.0,1.0,2.0,3.2876,0.0,4.856199999999999,4.856199999999999
2019-01-02 00:00:00+00:00,10.0,1.0,2.0,3.42778,0.0,4.78611,4.78611
2019-01-02 01:00:00+00:00,9.9084,1.0,2.0,3.74454,0.0,4.581930000000001,4.581930000000001
2019-01-02 02:00:00+00:00,9.66968,1.0,2.0,3.74454,0.0,4.4625699999999995,4.4625699999999995
2019-01-02 03:00:00+00:00,9.81072,1.0,2.0,3.74454,0.0,4.5330900000000005,4.5330900000000005
2019-01-02 04:00:00+00:00,10.0,1.0,2.0,3.31614,0.0,4.8419300000000005,4.8419300000000005
2019-01-02 05:00:00+00:00,10.0,1.0,2.0,2.32988,0.0,5.33506,5.33506
2019-01-02 06:00:00+00:00,10.0,1.0,2.0,1.20614,0.0,5.89693,5.89693
2019-01-02 07:00:00+00:00,10.0,1.0,2.0,0.0,0.12,6.536,6.536
2019-01-02 08:00:00+00:00,10.0,1.0,2.0,0.0,1.5,6.95,6.95
2019-01-02 09:00:00+00:00,10.0,1.0,2.0,0.0,2.5446,7.26338,7.26338
2019-01-02 10:00:00+00:00,10.0,1.0,2.0,0.0,2.75667,7.327,7.327
2019-01-02 11:00:00+00:00,10.0,1.0,2.0,0.0,3.02967,7.4089,7.4089
2019-01-02 12:00:00+00:00,10.0,1.0,2.0,0.0,1.82333,7.047,7.047
2019-01-02 13:00:00+00:00,10.0,1.0,2.0,0.0,2.5495,7.26485,7.26485
2019-01-02 14:00:00+00:00,10.0,1.0,2.0,0.0,2.16077,7.14823,7.14823
2019-01-02 15:00:00+00:00,10.0,1.0,2.0,0.0,2.64853,7.294560000000001,7.294560000000001
2019-01-02 16:00:00+00:00,10.0,1.0,2.0,0.0,4.04333,7.713,7.713
2019-01-02 17:00:00+00:00,10.0,1.0,2.0,0.0,4.24467,7.7734,7.7734
2019-01-02 18:00:00+00:00,10.0,1.0,2.0,0.0,3.92333,7.677,7.677
2019-01-02 19:00:00+00:00,10.0,1.0,2.0,0.0,2.99457,7.39837,7.39837
2019-01-02 20:00:00+00:00,10.0,1.0,2.0,0.0,1.55333,6.966,6.966
2019-01-02 21:00:00+00:00,10.0,1.0,2.0,0.0,0.0533333,6.516,6.516
2019-01-02 22:00:00+00:00,10.0,1.0,2.0,1.3506,0.0,5.8247,5.8247
2019-01-02 23:00:00+00:00,10.0,1.0,2.0,2.3804,0.0,5.3098,5.3098
2019-01-03 00:00:00+00:00,10.0,1.0,2.0,2.54458,0.0,5.22771,5.22771
2019-01-03 01:00:00+00:00,10.0,1.0,2.0,2.92528,0.0,5.03736,5.03736
2019-01-03 02:00:00+00:00,10.0,1.0,2.0,3.20296,0.0,4.89852,4.89852
2019-01-03 03:00:00+00:00,10.0,1.0,2.0,3.164,0.0,4.918,4.918
2019-01-03 04:00:00+00:00,10.0,1.0,2.0,2.486,0.0,5.257,5.257
2019-01-03 05:00:00+00:00,10.0,1.0,2.0,0.82292,0.0,6.08854,6.08854
2019-01-03 06:00:00+00:00,10.0,1.0,2.0,0.0,0.603333,6.681,6.681
2019-01-03 07:00:00+00:00,10.0,1.0,2.0,0.0,4.42253,7.82676,7.82676
2019-01-03 08:00:00+00:00,10.0,1.0,2.0,0.0,5.96497,8.289489999999999,8.289489999999999
2019-01-03 09:00:00+00:00,10.0,1.0,2.0,0.0,7.13,8.639,8.639
2019-01-03 10:00:00+00:00,10.0,1.0,2.0,0.0,7.5331,8.75993,8.75993
2019-01-03 11:00:00+00:00,10.0,1.0,2.0,0.0,7.26983,8.680950000000001,8.680950000000001
2019-01-03 12:00:00+00:00,10.0,1.0,2.0,0.0,5.83227,8.24968,8.24968
2019-01-03 13:00:00+00:00,10.0,1.0,2.0,0.0,5.91953,8.27586,8.27586
2019-01-03 14:00:00+00:00,10.0,1.0,2.0,0.0,5.55707,8.16712,8.16712
2019-01-03 15:00:00+00:00,10.0,1.0,2.0,0.0,5.43,8.129,8.129
2019-01-03 16:00:00+00:00,10.0,1.0,2.0,0.0,6.94667,8.584,8.584
2019-01-03 17:00:00+00:00,10.0,1.0,2.0,0.0,6.97667,8.593,8.593
2019-01-03 18:00:00+00:00,10.0,1.0,2.0,0.0,6.63,8.489,8.489
2019-01-03 19:00:00+00:00,10.0,1.0,2.0,0.0,5.08,8.024,8.024
2019-01-03 20:00:00+00:00,10.0,1.0,2.0,0.0,2.47573,7.24272,7.24272
2019-01-03 21:00:00+00:00,10.0,1.0,2.0,0.0,1.2002,6.860060000000001,6.860060000000001
2019-01-03 22:00:00+00:00,10.0,1.0,2.0,0.6799,0.0,6.16005,6.16005
2019-01-03 23:00:00+00:00,10.0,1.0,2.0,1.68806,0.0,5.65597,5.65597
2019-01-04 00:00:00+00:00,10.0,1.0,2.0,1.80078,0.0,5.599609999999999,5.599609999999999
